Tweet,Sarcasm(yes/no/no) Ravi,Sarcasm(Yes/No/no) Niranjana,Sarcasm(Yes/No/no) Priya
"No worries America tomorrow begins the era of a united, harmonious well run nation...or, becoming great again.
  #mondaymotivation #Sarcasm",yes,yes,yes
"@charliekirk11 Oh, Charlie, you are just jealous, you are not on their gravy train. #sarcasm #grifters #kidgrifters",no,no,no
"@MADiSciullo #sarcasm, dipshit ;)",no,no,no
Look at this dude #hatihatidiinternet #funny #darkjoke #sarcasm https://t.co/EqC5hVdN1D,no,no,no
"@CLewandowski_ #fearmongering keep using #breitbart, it's so reliable as a news source. #sarcasm Now what about children killed by muricans?",no,no,no
How jacked up is this #election? @HillaryClinton could be the first President to be sworn in from a jail cell. #WaitWhat #sarcasm,yes,yes,yes
@BamaVine @LSUvsBAMA @BigPayne94 Has nothing to do with victory...Bama gets all the calls! #sarcasm,no,no,no
"Oh and the setting, but unlocking my iMac with my binary #blameJavi #SE0117 #sarcasm",no,yes,yes
So much more light on my morning commute. #sarcasm #nofilter #odarkthirty https://t.co/fmc1KJCTLg,no,yes,no
Well here is to starting a completely bland week with nothing significant happening whatsoever. #botr16 #Election2016 #sarcasm,yes,yes,yes
Such an easy dish...ðŸ˜’ðŸ˜‹ #sarcasm #bharwabhindi #stuffedvegetables #mykitchen #foodcraverâ€¦ https://t.co/6fDhU2lT0i,no,yes,no
"You know those people that say they don't read books? This is for them.
  
  @empirecomicslab #sarcasm #comedy #books #reading #comics",no,no,no
The industry is going in circles. No fate. #mucon #sarcasm,no,no,no
A #Trump supporter who doesn't focus on what their candidate says or does???? No way! #sarcasm https://t.co/plKPOg0dnk,no,no,no
"Yeah, after all that you'll just use me. Good job. ðŸ‘ðŸ½ #sarcasm",yes,yes,no
Monday morning humor #sarcasm https://t.co/4MhD3xoTwl,no,no,no
"No. 1 way to win new biz is by publicly insulting (not ""critiquing"") brands u hope to pitch. #sarcasm #marketingnono #idiot",no,no,no
#ElectionFinalThoughts Just because #CrookedHillary ran the most corrupt campaign ever doesn't mean she'll run a corrupt presidency #sarcasm,no,yes,yes
"Facebook Memories :P :P :P
  #exgag #exgagtales #exgagjoke #sarcasm #exgagvideo #relatable #laugh #facebook #memoriesâ€¦ https://t.co/VwQseTX7uQ",no,no,no
Monday toothpaste love. ðŸ˜£#firstworldproblems #sarcasm #life #monday #dental #hygene #strugglesâ€¦ https://t.co/06U3NJEUIB,no,no,no
Uncovering the science of #sarcasm or as Comic Book Guy would say: Best. Article. Ever. https://t.co/fkNN0CUH9e via @SmithsonianMag,no,no,no
@GibranGraham I can't believe the city allowed you to put that sign up. Who do I complain to? ;) #sarcasm,no,no,no
but when it comes to expressions and emoting...even the best CG artist can't do much with John #Sarcasm #force2,no,no,no
@seanp6373 oh really? I never knew that. #sarcasm,no,no,no
"CG is finally making sum real progress in india,they've actually made sonakshi sinha look slimmer inthe song #iloveyou frm #force2 #Sarcasm",no,no,no
"@mowat4ws thanks for your reply, its appreciated #Sarcasm. Dont be expectinf my vote in the local elections.",no,no,no
It's so nice figuring out a family member doesn't care about you. #sarcasm,yes,yes,yes
"@NYDailyNews @GovChristie still lmfao. yeah...there's no way someone as 'cool, calm and collected' as you...would oâ€¦ https://t.co/PK5NMQj7WI",no,yes,no
"Woke up to no coffee, more Trump stupidity and other such nonsense. I'm going back to bed. #mondaymotivation #sarcasm",no,yes,no
"@JWLevitt @FueledbyLOLZ likewise! Shouldn't be too hard - it's a pretty small event, right? #sarcasm",no,yes,yes
"me: i feel Bad
  someone: please don't!
  me: wow you just... Solved it!!!
  #sarcasm #actuallybpd #bpdfeelslike #sadness #bpd",no,no,no
#sarcasm noted I hope https://t.co/93fjq6uZXy,no,no,no
As cool as this is .... Tell me what could go wrong .... doctored testimony maybe ..... #sarcasm #VoCo https://t.co/p0vnfW0hkm,no,yes,yes
"Globe's twitter customer support took 2 weeks to reply to me.
  
  Bravo. #sarcasm",yes,yes,yes
"Yep, I'm a big fan of waking up early in the morning unplanned then not going back to sleep because my mind is all over the place ðŸ¤ #sarcasm",no,yes,yes
"Yes, 2 hours of sleep and I'm ready for fucking work! #sarcasm ðŸ˜£ðŸ˜´",no,yes,yes
Surgical Strikes against our terrorists is #DarkestHourOfDemocracy #Sarcasm,no,no,no
"2G, Commonwealth, Coal Scam are pillars of democracy and Jan Dhan, Swach Bharat,Skill India, GST are #DarkestHourOfDemocracy #Sarcasm",yes,yes,no
It's a must #sarcasm https://t.co/tYTj5iLXpe,no,no,no
@LibyaLiberty It's B right? Biryani? No wait... A.. A! That's it! Hindu! #Sarcasm,no,no,no
"#Election2016: #FBI role akin 2 popup w/o dismiss option
  
  #JokeJam #PedniDotCom #Sarcasm
  #JamesComey #VoteTrumpâ€¦ https://t.co/AGhgLfAt0S",no,no,no
@PokemonGoApp Thanks for 1. Removing drive-by Pokestops and 2. Making sure hardcore players never hit a gym again. #sarcasm #killedthegame,yes,yes,yes
So much itenerary. #sarcasm #sizzlingpoint #indang https://t.co/5QbUHPIhzL https://t.co/kRtb1gFOyP,no,no,no
So much itenerary. #sarcasm #sizzlingpoint #indang https://t.co/AC6A4dHvGu,no,no,no
"So what do you want me to do, hover? #justsaying #confusing #lol #sa #sarcasm #onlyinsa https://t.co/4Z1ERbr25S",no,no,no
"@Carma_2012 @TBCJay @TheOneSoleShoe What is this unpatriotic attitude? Trump will make America great Again - no need to ""save"" GOP! #sarcasm",no,no,no
"I hope someone out there gets it. 
  #Sarcasm https://t.co/e0Hgbhdhs9",no,no,no
Massive mandate to remain #sarcasm #advisoryreferendum https://t.co/VF4vt8Py8X,no,no,no
@GrnEyedMandy @sandykaye38 @KellyannePolls They allowed THOSE people to vote?! #Sarcasm,yes,yes,no
Words on a shirt T-shirt https://t.co/BsvOe96V1U #sarcasm #funnygift #Funny_tshirt https://t.co/6BqVvJoX9w,no,no,no
And did you see all those fans in the stands because of Cup drivers being in it? ðŸ™„ #Sarcasm #TMDNASCAR,no,no,no
"Why some of the girls are so pretty that we boys can see our rejection in their eyes? 
  #sarcasm",no,no,no
Uh-huh. #coffee #carbs #sarcasm #funny #girl #live #love #lift https://t.co/hGXmQmmCYj,no,no,no
"What's Omdahl's proposition? Of course, meeting with Standing Rock Tribal Council. I guess, like in 1868 at Fort Laâ€¦ https://t.co/ioemzEReEQ",no,no,no
@ChrisCuomo @AC360 @brianstelter @wolfblitzer are all over this lead! #sarcasm they are paid to protectâ€¦ https://t.co/aV7eR0ZgSo,no,no,no
"Oh my ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ sarcastic sarcasm 
  #laughing #laugh #sarcasm #hilarious #funny #enjoy https://t.co/0aeFojoXMi",no,no,no
".@AdamParkhomenko What about right before 2nd debate, parading Paula Jones et al. In #Trumpland that was a press conference. ðŸ˜‹ #Sarcasm",yes,yes,no
@ashleyxlazer @ebsoftball Nope that didn't make me cry. Not at all #Sarcasm. Beautifully done!,no,no,no
"To counter ISIS Govt snt kurds fighters 2 jail on carring illegal weapons.
  #Government #of #pakistan #in #MiddleEast #Sarcasm
  #ShiaGenocide",no,no,no
"#VoolsyWords : Wise words for #Stomach . Hope it understands.
  
  #Voolsy #WeSimplifyIt #foodie #Sarcasm https://t.co/rrw8QwV7sV",no,no,no
@C4ETech @XiaomiIndia you re tweeted it this means you love the 6.44 inch screen #Sarcasm ðŸ˜‰ðŸ˜‰,no,no,no
"If a #foodie sits to eat. 
  Don't ever sneak in his/her dish.
  I repeat, don't ever sneak in his/her dish.
  #Voolsy #WeSimplifyIt #Sarcasm",no,no,no
@phoenix829 @seemaiyeresq wait there's an election what election? haven't heard anything about an election...lemme @google that. #sarcasm,yes,yes,yes
"THIS should end well. #sarcasm
  
  https://t.co/Td0iUr9TcP",no,no,no
"@JSavoly Oh, but JayZ uses foul language! #Sarcasm",no,no,no
@GMA how can I serve Thanksgiving dinner while doing Christmas shopping at the same time? Is it rude to only go shopping? #Sarcasm,yes,yes,yes
@Moriah641 @MacDaddy611 @hillary Her biggest accomplishment is avoiding indictment... exactly what I want in myâ€¦ https://t.co/GuJFGndeFA,no,no,no
#SARCASM: Having #phenomenal day - my ðŸšwas too packed to let me on &amp; I'm in need of some ðŸ’¤bc I had #Benadryl bc allergic reaction to ðŸ’‡ðŸ½â€â™‚ï¸,no,no,no
President Trump will be so much more socialist. #sarcasm @ReasonBowl,yes,yes,no
"@adriandz Lol, I read this tweet in a vacuum and wondered WHO is so upset about a hydro pole. Then looked for context. #sarcasm #Igetitnow ðŸ˜‚",yes,yes,yes
"@BBCBusiness Why aren't there more woman working in the sewers, how can we fix this? #sarcasm https://t.co/W0fuc2CXmA",yes,yes,no
Modern-Day Modesty. #Sarcasm https://t.co/fAB4NtmYvF https://t.co/YW6N6hqfWa,no,no,no
"Hey, hi. I'm here to look pretty and insult your intelligence. [insert something insulting to your intelligence and hairflip here] #Sarcasm",yes,yes,no
For showing me the racist underbelly of America and just how harmful my Southern town is. Going to move asap. :) #sarcasm #ThanksTrump,no,yes,no
"Show your kids HOW #TheRulingClass works VOTE FOR HILLARY
  (do you need #sarcasm tags?)",no,no,no
OMG! Why isn't this front page news? #sarcasm ðŸ˜‚ https://t.co/GCGoQoW0fq,no,yes,no
"Another hard, boring, Monday morning at work..... ;) #sarcasm #lovemyjob #nannying #nannylifeâ€¦ https://t.co/T4tOlhc8Tv",no,yes,no
"""concerned at the PP recommendation that the CJ, &amp; not the pres, appoint the presiding judge.""-i wonder y?#sarcasm 
  https://t.co/yF0qvWW2cX",no,no,no
"Hey @ProD_Soccer thanks for the deep/loose neck shirt and the ""D-Fit"" shirt. #sarcasm #disappointed https://t.co/N4gdWPMUtD",no,yes,no
I'm sure Trump will offer sincere condolences to Janet Reno's family in their time of grief. #hinthint #sarcasm,no,no,no
"@krishgm So after WW2 destruction , the so called leaders re-built Europe? Why not Arabia? They have looted enough now surely? #Sarcasm",no,yes,no
"Scribbled Tales.
  #scribblestales #exgag #exgagtales #exgagjoke #sarcasm #relationship #love #scribblestories #story https://t.co/WDDXOltywo",no,no,no
@ewrairport100 gets A+ for super fast security and friendly security officers ðŸ™„ #sarcasm please watch @mishacollins #TSAAmerica for review!!,no,yes,no
Thanks trump for telling us how to treat women #sarcasm,yes,yes,yes
Yes gang! Last week was so great when you didn't rant about Hillary's emails and were instead wise &amp; calm #SARCASM #MORNINGJOE #ImWithHER,yes,yes,no
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",yes,yes,yes
"#sarcasm 
  
  Someone : Keeps pointing out my faults.
  
  Me: How about running? As fast as U can before my sarcasm drains you out.",yes,yes,yes
Definitely not sick of seeing #Trump and #Clinton impressions on TV. Really hope they continue after #ElectionDay #Sarcasm,yes,yes,no
US elections are the new answer to Keeping Up with the Trailertrashians. Depressing. #qanda #auspol #sarcasm,yes,yes,yes
"Yeah,.... police never lie .... and aren't racist ... #sarcasm ....*just in case ya didnâ€™t know* https://t.co/kHxpYSvIwM",yes,yes,no
"Literally, the best time of my life. #sarcasm",no,yes,yes
@6abc what a surprise! Strike over! Amazing they could reach a last minute agreement based solely what is best for their members. #sarcasm,no,yes,no
made funnier when account is named catfish bandit lol #sarcasm,no,no,no
.@GregAbbott_TX Clearly the #FBI #DOJ #HillaryClinton #EmailScandal Investigation Was 'Fair and Impartial?' https://t.co/6WeoOi8nyr #Sarcasm,no,no,no
"@KaraOTR Because if there's one thing we can say with absolute certainty, men have women completely figured out. #Sarcasm",no,yes,yes
"Breaking: FBI uses maid to clean up investigation on Hillary.
  #ElectionFinalThoughts #wakeupAmerica #sarcasm https://t.co/jbCDWjy0NL",yes,yes,yes
Malemas speech right now should be doing wonders for white foreign investment. #sarcasm,no,no,no
True ....ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ #sarcasm #lol #rofl #men #women #india #delhi #mumbai #bangalore #usa #keralâ€¦ https://t.co/DhogW0vMRV https://t.co/dswXwLd6i7,no,no,no
@beneltham the award was likely decided a while ago so probs not. But what brilliant timing! Next: Trump wins Feminist of the Year! #sarcasm,no,no,no
"Once @PetrCech was walking slowly. Arsene Wenger said- ""CZECH-SLO-VAKIA""
  #arsenal #sarcasm #SarcasticBernie 
  #ShitJoke",no,no,no
Carpe diem coffee mug https://t.co/ChCnP17Ixr #sarcasm #WitticismsRus #funnygift #Carpe_diem https://t.co/DmCtUoImIe,no,no,no
The ability to understand #SARCASM apparently is not something the deplorables have. They read the dncleak and tweet really stupid stuff,no,no,no
"A few Facebook employees were former data mining engineers at the CIA, your data is in safe hands. #sarcasm",no,yes,yes
"A small ATM room which is equipped with 3 ACs and 4 tubelights, is asking me not to print receipt to save environment..
  
  #Sarcasm",yes,yes,yes
"I don't believe in caring &amp; sharing. 
  Neither I care what I eat, nor I share what I eat. ðŸ˜ŽðŸ˜Ž
  #Voolsy #WeSimplifyIt #foodie #food #Sarcasm",no,no,no
"A few Facebook employees were former data mining engineers at the CIA, your data is in safe hands. #sarcasm",no,yes,yes
"A few Facebook employees were former data mining engineers at the @CIA, your data is in safe hands. #sarcasm",no,yes,yes
@shoreytime @miss_shiny @Jan__Fran @marcfennell @SenatorMRoberts You forgot to say #sarcasm,no,no,no
@AstroidRain that has a lot of facts in it....at least your using an educated decision #Sarcasm,no,no,no
@thunderf00t @Nakidape i'm sure it would be wise to stay out of Putins way and concentrate on dismantling the EPA instead #sarcasm,no,no,no
"A private cremation will be conducted in Waco, Texas. #Sarcasm https://t.co/ladxZcQ23r",no,no,no
"@platzmania Wooo, what a sick burn #sarcasm . I don't know the specific colour arrangement of flags according to you. Why should I care?",no,no,no
"I used to appreciate the #Sarcasm pages on FB, but they seem to be deteriorating in grammar and basic spelling skills, not to mention, wit.",no,no,no
"@david_colquhoun i'm going to vote for candidates who favour the feudal system, yay England! #sarcasm",no,no,no
@ShaharAzani @thekahena @StandWithUs @brianoflondon @ActForIsrael Messages can get lost in #sarcasm. Jokes aside. Talk about the issues.,no,no,no
"#DearMHprofs please take note we're not socially isolated due to social anxiety, it's being a smart ass #Sarcasm https://t.co/zXo3LHr6DV",no,no,no
&gt; I didn't see this coming #sarcasm&gt;US election 2016: Trump cries foul as FBI clears Clinton https://t.co/DZaiJh9EU0,no,no,no
"#sarcasm 
  
  Ex : Was just thinking if we could get back together.
  
  Me: Sorry babe. Can't let you eat my soul.
  
  ðŸ˜‚",no,no,no
F Bomb pendant necklace https://t.co/AmMlNQEioI #funnygift #WitticismsRus #sarcasm #Funny_pendant https://t.co/yl0nBfG2H7,no,no,no
I look forward to leaving the house at 6.45 tomorrow morning! #sarcasm https://t.co/gyzgjQShqY,no,no,no
@greateranglia so glad I got a free cupcake the other day. Really makes up for your joke of a service! #sarcasm #awful,no,yes,yes
"I just received my magic wand from an e-commerce site.
  But it's not working.
  #Potterhead #Sarcasm",no,yes,yes
"Inspirational Enough?
  #relatable #exgag #exgagtales #exgagjoke #sarcasm #relationship #inspirational #inspire #iit https://t.co/eCfXXH14RC",no,yes,no
"How many cigarettes usmoke daily, thanks we livein Delhi #smog #NGT #SmogCapital #smogindelhi #Sarcasm #survivalâ€¦ https://t.co/ElGuhifVgk",yes,no,no
"Oh... never saw this coming! ðŸ¤”ðŸ˜‚ðŸ¤” #sarcasm
  
  Trump always seems to be right FR I can't help but trust him. 
  
  I was aâ€¦ https://t.co/9ypLUFzfbW",no,no,no
"so tell me about yourself
  ... 
  not really #sarcasm",no,no,no
I think it's only fair that the poor subsidise the poor financial fraternity for their honest mistakes #sarcasm #benefitscap,no,yes,no
Exceptional service from @SouthernRailUK as always! #sarcasm #incaseyouwerenotsure,no,no,no
"Well, just one more day. Are we all ready for President Trump? #MuslimsforTrump #Sarcasm :)",no,yes,yes
Love having movie nights with my husband. Those snores in the background really round out the experience. #datenight #movienight #sarcasm,no,yes,yes
